legacy_id	article	receipt_name	group
435	Ч124	"Тендітний чокер з серцем"	"2 группа"
436	Ч124.1	"Чокер з серцем у рожевому кольорі"	"2 группа"
437	С125.1	"Сережки з рожевими серцями"	"2 группа"
439	К119	"Комбіноване кольє з ланцюжками"	"2 группа"
44	Ч54	"Чокер з японського бісеру"	"2 группа"
441	Ч129	"Ніжний чокер з колоском"	"2 группа"
444	К55.4	"Кольє у чарівному синьому кольорі"	"3 группа"
447	Ц43	"Ланцюжок-краватка з регулятором"	"2 группа"
448	Б91	"Стильний браслет з регулятором"	"2 группа"
449	К101	"Кольє з білим серцем"	"2 группа"
45	ч75.1	"Чокер у чорному кольорі з кулоном"	"3 группа"
450	С108	"Сережки-гвіздочки з серцями"	"2 группа"
451	К83.С	"Комбіноване рожеве кольє з ланцюжками та кулоном"	"2 группа"
452	С5.22С	"Сережки з пташками"	"2 группа"
453	К83.2С	"Комбіноване кольє з ланцюжками та пташкою"	"2 группа"
454	К88	"Кольє з білим серцем"	"2 группа"
455	К100.1С	"Кольє з серцем"	"2 группа"
456	К103	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
457	С107.3С	"Сережки з серцями"	"2 группа"
458	R7	"Каблучка з ланцюжком"	"3 группа"
459	Б116	"Браслет з ніжним акцентом"	"3 группа"
46	Ц6.С	"Кольє з ланцюжка зі з'ємним кулоном"	"3 группа"
460	Ч115.4	"Ніжний чокер з акцентом білого кольору"	"3 группа"
461	Ч115.6	"Ніжний чокер з акцентом рожевого кольору"	"3 группа"
462	Ч115.5	"Ніжний чокер з акцентом зеленого кольору"	"3 группа"
464	Ч115	"Ніжний чокер на прозорій основі"	"3 группа"
465	Ч115.1	"Ніжний чокер на прозорій основі"	"3 группа"
466	Ч115.2	"Ніжний чокер на прозорій основі"	"3 группа"
468	ЧШ8	"Чорний шнур з горлицею"	"2 группа"
474	К61С	"Кольє зі з'ємним кулоном"	"3 группа"
476	К1	"Кольє з білим серцем"	"3 группа"
479	К116	"Кольє з серцем у чорному кольорі"	"2 группа"
48	С16.4	Сережки-трансформери	"3 группа"
480	К115	"Кольє з акцентним кулоном"	"2 группа"
481	Ц23С	"Ланцюжок-краватка з кульками"	"2 группа"
482	К113	"Кольє з серцем  у чорному кольорі"	"2 группа"
483	К114	"Кольє з цікавим з'ємним ланцюжком"	"2 группа"
484	К60.2	"Кольє з ланцюжком та акцентним кулоном"	"3 группа"
485	С107.3	"Сережки з серцями"	"2 группа"
486	К100.1	"Кольє з серцем"	"2 группа"
487	Ч113	"Чокер широка змійка"	"2 группа"
488	С87	"Акцентні сережки"	"2 группа"
489	С89	"Сережки протяжки"	"2 группа"
491	С84	"Крупні сережки овали"	"2 группа"
493	Ц101	"Ланцюжок змійка"	"2 группа"
494	Ч206	"Різнобарвний чокер з намистиною"	"3 группа"
495	ЧШ1	"Чорний шнур з кулоном"	"2 группа"
497	К70С	"Стильне кольє з різними ланцюжками та серцем"	"2 группа"
498	Ц29С	"Кольє з універсального ланцюжка з невидимою застібкою"	"2 группа"
499	С50.1С	"Сережки трансформери"	"2 группа"
50	СХіт.2	Сережки-трансформери	"2 группа"
501	Ч116	"Чокер з ніжним акцентом"	"3 группа"
502	С16.3	Сережки-трансформери	"3 группа"
503	П8.1	"Ланцюжок з акцентною застібкою"	"2 группа"
504	Ц43	"Ланцюжок-краватка з регулятором"	"2 группа"
505	К1.1	"Ніжне кольє з акцентною застібкою та кулоном"	"3 группа"
506	Ц45	"Кольє з ланцюжків біколор"	"2 группа"
508	"Ц45, СО.Т"	"Комплект з кольє біколор та сережки"	"2 группа"
509	"Ч113, С87, R8"	"Комплект з акцентного чокеру, сережок та каблучки"	"2 группа"
51	С31	"Сережки зі з'ємними підвісками"	"3 группа"
510	Ц101,С87	"Комплект ланцюжок змійка та сережки"	"2 группа"
511	К85	"Кольє з акцентною застібкою та кулоном"	"2 группа"
513	К123	"Ніжне кольє з акцентною застібкою та кулоном"	"2 группа"
514	С123	Сережки-трансформери	"2 группа"
515	К30	"Кольє з ланцюжком з сонцем"	"3 группа"
516	Ч118	"Вишуканий чокер з сонцем"	"2 группа"
517	С52.1	"Базові сережки"	"2 группа"
518	К121	"Кольє з акцентним з'ємним кулоном з ланцюжків"	"3 группа"
519	К61	"Кольє зі з'ємним кулоном"	"3 группа"
520	K28.1	"Кольє з ланцюжком і застібкою тогл"	"3 группа"
521	К86	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
522	Ч117К	"Ніжний чокер з горлицею"	"3 группа"
523	С5.23	"Сережки горлиці"	"2 группа"
524	Ч115.7	"Чокер з акцентом на прозорій основі"	"2 группа"
526	Ч9	"Чокер з серцем"	"3 группа"
527	С70	"Сережки гвіздочки"	"3 группа"
528	К122	"Кольє  з ланцюжками та кулоном"	"2 группа"
529	С114	Сережки-трансформери	"2 группа"
530	С125.2	"Сережки з серцями"	"2 группа"
531	Ч12.1	"Ніжний чокер"	"3 группа"
532	Ч101.1С	"Сяючий чокер у срібному кольорі з кулоном сонце"	"3 группа"
533	С339С	"Сережки з англійською застібкою"	"2 группа"
536	Б2.1	"Витончений браслет"	"3 группа"
537	Б97	"Сяючий браслет з додаванням бісеру у чорному кольорі"	"3 группа"
538	Б43	"Блискучий браслет у золотому кольорі"	"3 группа"
539	Б66	"Вишуканий комбінований браслет"	"3 группа"
54	К1.2	"Кольє з кулоном сонце та акцентною застібкою"	"3 группа"
540	Б53.1	"Ніжний браслет"	"3 группа"
541	Б101	"Акцентний браслет"	"3 группа"
542	Б38.1	"Вишуканий яскравий браслет"	"3 группа"
543	Б89С	"Комбінований браслет з ланцюжками у чорному кольорі"	"2 группа"
544	Б86.2	"Браслет у білому кольорі"	"2 группа"
545	Б117	"Браслет чорного кольору"	"2 группа"
546	Б98	"Браслет з ланцюжка"	"2 группа"
547	К83.3	"Кольє у зеленому кольорі з кулоном"	"2 группа"
548	С105.1	"Сережки з космічним сонцем"	"2 группа"
549	"Ч12.1, Ч55.1, С5.22"	"Комплект з двох чокерів та сережки"	"3 группа"
55	Ц24	"Витончений ланцюжок-краватка"	"3 группа"
550	Ц50	"Краватка з кульками"	"2 группа"
551	Ч101.1	"Сяючий чокер у золотому кольорі з кулоном сонце"	"3 группа"
552	С19	"Витончені сережки"	"3 группа"
553	"Ч117К, С5.23"	"Комплект з горлицями"	"3 группа"
555	Б119	"Комбінований браслет з ланцюжком"	"2 группа"
556	С119	"Сережки серця"	"2 группа"
557	С22	"Довгі сережки гвіздочки з кульками"	"2 группа"
558	Ч55.1	"Чокер з японського бісеру з пташкою"	"2 группа"
559	К105	"Комбіноване кольє у зеленому кольорі з ланцюжками"	"2 группа"
56	Ц1	"Кольє з кулоном біле серце"	"2 группа"
560	К117С	"Акцентне кольє з ланцюжками"	"2 группа"
561	К70	"Стильне кольє з різними ланцюжками та серцем"	"2 группа"
562	С95.2	Сережки-трансформери	"2 группа"
563	Б105.1	"Комбінований браслет з ланцюжками"	"2 группа"
564	С5.22	"Сережки з пташками"	"2 группа"
565	Б89	"Комбінований браслет з ланцюжками у чорному кольорі"	"2 группа"
566	R8	"Акцентна каблучка"	"2 группа"
567	R10.1	"Каблучка з кульками"	"2 группа"
568	R9	"Стильна каблучка"	"2 группа"
57	"Ц27.3 з перлинами"	"Подвійне кольє з ніжними вставками"	"3 группа"
571	С83	"Акцентні сережки"	"2 группа"
572	ЧШ5.1	"Чорний шнур з кулоном"	"2 группа"
575	Ц51	"Краватка трансформер з кульками"	"2 группа"
576	Ц51С	"Краватка трансформер з кульками"	"2 группа"
577	Ч97	"Кольоровий чокер"	"2 группа"
578	С53	"Кольорові сережки"	"2 группа"
579	Ч87.0	"Сяючий мінімалістичний чокер"	"2 группа"
580	Б23	"Браслет з кульками"	"2 группа"
581	С23.0	"Сережки гвіздочки з кульками довгі"	"2 группа"
583	С900.1С	"Акцентні сережки біколор на гвіздочках"	"2 группа"
584	Б86.3	"Браслет у білому кольорі"	"2 группа"
585	Б86.3С	"Сяючий браслет"	"2 группа"
586	Ч131С	"Чокер у чорному кольорі з серцем"	"2 группа"
588	Ц55С	"Стильна краватка з серцем"	"2 группа"
589	К114.1	"Кольє в чорному кольорі зі з'ємною краваткою"	"2 группа"
590	С35С	"Сережки з кульками"	"2 группа"
591	С35	"Вишукані сережки з кульками"	"2 группа"
592	Ц27.4	"Подвійне кольє з  чорним камінням"	"3 группа"
593	С21.2	"Сережки гвіздочки"	"3 группа"
594	К127.1	"Акцентне блискуче кольє"	"2 группа"
595	С127.1	"Сережки гвіздочки"	"2 группа"
596	К126	"Вишукане кольє"	"2 группа"
597	С71.2	"Вишукані сережки"	"2 группа"
599	"Ц55, С117, R55"	"Комплект з серцями"	"2 группа"
600	Ц9	Ланцюжок-краватка	"2 группа"
601	Ч140	"Чокер з літерою"	"2 группа"
602	С9.1	"Сережки гвіздочки"	"2 группа"
604	Ч124	"Сяючий чокер з серцем"	"2 группа"
605	Ч156	"Чокер з квіткою"	"2 группа"
606	К83.10	"Кольє  з колоском та ланцюжками"	"2 группа"
607	Ц23	"Ланцюжок-краватка з кульками"	"2 группа"
608	Ч124.1	"Чокер з серцем у рожевому кольорі"	"2 группа"
609	К157	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
611	Ч158	"Тендітне подвійне кольє з серцем"	"2 группа"
